scope,n_clips_in_scope,target,ordering,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,spearman_with_reviews,frac_nondecreasing_with_reviews,task_switch_rate_with_reviews,cluster_switch_rate_with_reviews,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,2,Random order (same clips),6.0,6.0,-0.1542857142857143,0.42000000000000004,0.5841911764705882,0.7970588235294118,0.3321323529411765,1.4,0.34,0.34,0.0,0.34,0.7806022786813485,0.9750097924086824,,,,,0.2800000000000001,0.2800000000000001,3.0,1.4,0.0,1.7051083920242582,1.0
garments,131,2,Random subset (same size),6.0,6.0,0.2628571428571429,0.5,0.6463235294117646,0.6944852941176471,0.36720588235294116,2.0,0.62,0.56,0.4,0.62,0.8763104156131785,0.9855523850036304,,,,,0.34,0.4,3.3,1.7,0.02,1.8831503249443269,1.0
garments,131,2,Difficulty-sorted (same clips),6.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.18235294117647058,1.0,0.2,0.2,0.0,0.2,0.6874381226057785,0.906981954664931,,,,,0.4,0.4,6.0,2.0,0.0,1.7051083920242585,1.0
garments,131,2,Coreset prefix (same size),6.0,6.0,-0.3714285714285715,0.4,0.8676470588235294,0.8970588235294118,0.7198529411764706,2.0,1.0,1.0,0.2,1.0,0.9736251154134397,1.0,,,,,1.0,0.8,6.0,5.0,0.0,2.1103389116523013,1.0
garments,131,21,Curriculum path,7.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.19044117647058822,1.0,0.2,0.2,0.0,0.2,0.7343265720919762,0.906981954664931,0.7207499701564473,0.8333333333333334,0.5,0.5,0.4,0.4,7.0,2.0,0.0,1.758636090661875,0.8571428571428571
garments,131,21,Random order (same clips),6.0,6.0,-0.1542857142857143,0.42000000000000004,0.5908088235294117,0.8029411764705883,0.3426470588235294,1.3,0.34,0.34,0.0,0.34,0.8094801209450997,0.9271232225253081,,,,,0.2800000000000001,0.2800000000000001,3.0,1.4,0.0,1.758636090661875,1.0
garments,131,21,Random subset (same size),6.0,6.0,0.20571428571428568,0.5,0.6720588235294117,0.7191176470588234,0.3785294117647059,2.0,0.62,0.56,0.4,0.62,0.8895229952292845,0.9859265159153099,,,,,0.34,0.4,3.3,1.7,0.02,1.8946806727369245,1.0
garments,131,21,Difficulty-sorted (same clips),6.0,6.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.19044117647058822,1.0,0.2,0.2,0.0,0.2,0.7343265720919762,0.906981954664931,,,,,0.4,0.4,6.0,2.0,0.0,1.758636090661875,1.0
garments,131,21,Coreset prefix (same size),6.0,6.0,-0.3714285714285715,0.4,0.8676470588235294,0.8970588235294118,0.7198529411764706,2.0,1.0,1.0,0.2,1.0,0.9736251154134397,1.0,,,,,1.0,0.8,6.0,5.0,0.0,2.1103389116523013,1.0
garments,131,48,Curriculum path,8.0,7.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.1636029411764706,1.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.7280193875096028,0.906981954664931,0.8143858581010162,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.4,0.4,8.0,2.0,0.0,1.7643786245981599,0.875
